Consumer Demographics,Dis Catg,Foot Traffic,Prod Catg,Prod ID,Prod Pos,Promotion,Promotion Status,Seasonal,Comptr's Price,Price,Price Diff,Sales per Price,Sales Vol
Young adults,Higher Price,Medium,Food,195879,Front of Store,Yes,Promoted,Yes,$18.54,$21.03,$2.49,111.222063718,2339
College students,Higher Price,High,Clothing,155050,Aisle,No,Not Promoted,Yes,$14.93,$19.92,$4.99,116.516064257,2321
Young adults,Higher Price,Low,Electronics,194410,End-cap,No,Not Promoted,No,$32.49,$36.20,$3.71,18.480662983,669
College students,Higher Price,Medium,Food,141904,End-cap,Yes,Promoted,Yes,$23.03,$27.36,$4.33,62.573099415,1712
Families,Higher Price,Low,Clothing,124981,Front of Store,No,Not Promoted,Yes,$40.29,$42.74,$2.45,42.863827796,1832
Young adults,Higher Price,Medium,Electronics,161909,Aisle,Yes,Promoted,No,$20.85,$22.16,$1.31,58.212996390,1290
Seniors,Higher Price,Low,Electronics,129152,End-cap,No,Not Promoted,No,$47.56,$48.51,$0.95,48.567305710,2356
Families,Higher Price,Low,Food,183243,Front of Store,Yes,Promoted,No,$37.12,$39.32,$2.20,38.758901322,1524
Seniors,Higher Price,High,Clothing,198248,Front of Store,Yes,Promoted,No,$23.40,$27.81,$4.41,59.115426106,1644
Young adults,Higher Price,High,Clothing,191230,End-cap,No,Not Promoted,No,$45.65,$49.95,$4.30,19.339339339,966
College students,Higher Price,Low,Clothing,187234,Front of Store,Yes,Promoted,Yes,$35.55,$39.27,$3.72,65.571683219,2575
Families,Higher Price,Low,Clothing,148888,Front of Store,No,Not Promoted,No,$14.44,$16.92,$2.48,163.947990544,2774
Young adults,Higher Price,Medium,Food,110805,Front of Store,Yes,Promoted,No,$34.74,$35.91,$1.17,68.978000557,2477
College students,Higher Price,Low,Electronics,179801,Front of Store,No,Not Promoted,Yes,$43.04,$46.81,$3.77,55.714590899,2608
Families,Higher Price,High,Electronics,134927,Aisle,Yes,Promoted,Yes,$5.37,$6.10,$0.73,369.180327869,2252
Seniors,Higher Price,Medium,Electronics,123150,End-cap,Yes,Promoted,No,$34.90,$37.03,$2.13,56.008641642,2074
Seniors,Higher Price,High,Electronics,159145,End-cap,Yes,Promoted,No,$18.27,$19.01,$0.74,135.665439243,2579
College students,Higher Price,High,Clothing,172364,Aisle,Yes,Promoted,No,$10.30,$12.30,$2.00,238.292682927,2931
College students,Higher Price,Low,Electronics,178281,End-cap,No,Not Promoted,Yes,$7.89,$11.64,$3.75,98.367697595,1145
Seniors,Higher Price,Low,Clothing,194339,End-cap,No,Not Promoted,No,$16.18,$18.20,$2.02,98.461538462,1792
Young adults,Higher Price,Low,Electronics,174412,Aisle,No,Not Promoted,Yes,$19.71,$23.93,$4.22,75.052235687,1796
College students,Higher Price,Medium,Clothing,114877,Aisle,No,Not Promoted,No,$21.09,$21.76,$0.67,85.477941176,1860
Families,Higher Price,High,Clothing,140727,End-cap,Yes,Promoted,Yes,$12.07,$15.89,$3.82,63.058527376,1002
Families,Higher Price,High,Clothing,133109,Front of Store,No,Not Promoted,Yes,$31.33,$36.13,$4.80,57.099363410,2063
Families,Higher Price,Low,Food,127296,Aisle,No,Not Promoted,No,$32.31,$34.02,$1.71,34.244562022,1165
Families,Higher Price,High,Electronics,133757,Aisle,Yes,Promoted,No,$3.97,$7.38,$3.41,280.623306233,2071
College students,Higher Price,Low,Clothing,111760,End-cap,No,Not Promoted,No,$17.41,$19.30,$1.89,76.373056995,1474
Seniors,Higher Price,Low,Clothing,198375,End-cap,No,Not Promoted,No,$6.84,$7.10,$0.26,310.140845070,2202
Families,Higher Price,Low,Electronics,168837,Aisle,No,Not Promoted,No,$38.54,$43.43,$4.89,15.311996316,665
Seniors,Higher Price,Low,Food,138505,Front of Store,No,Not Promoted,No,$42.48,$46.72,$4.24,53.039383562,2478
Families,Higher Price,Medium,Clothing,116228,End-cap,Yes,Promoted,No,$32.95,$36.32,$3.37,17.813876652,647
Seniors,Higher Price,Medium,Food,167592,Front of Store,Yes,Promoted,No,$16.84,$17.76,$0.92,39.808558559,707
Families,Higher Price,Medium,Clothing,133100,End-cap,Yes,Promoted,No,$43.18,$47.78,$4.60,57.115948095,2729
Young adults,Higher Price,High,Electronics,119955,Front of Store,No,Not Promoted,No,$32.94,$34.12,$1.18,46.600234467,1590
Seniors,Higher Price,Medium,Electronics,189349,End-cap,Yes,Promoted,No,$42.91,$45.91,$3.00,27.118274886,1245
Young adults,Higher Price,Low,Clothing,127478,Front of Store,No,Not Promoted,Yes,$26.06,$29.30,$3.24,85.255972696,2498
Young adults,Higher Price,High,Food,180661,Front of Store,No,Not Promoted,Yes,$36.05,$39.96,$3.91,26.051051051,1041
Young adults,Higher Price,Low,Food,186681,End-cap,No,Not Promoted,Yes,$35.10,$39.46,$4.36,43.512417638,1717
Families,Higher Price,Low,Electronics,133183,Front of Store,Yes,Promoted,Yes,$44.26,$45.07,$0.81,63.434657200,2859
Families,Higher Price,High,Food,173508,Aisle,Yes,Promoted,No,$13.18,$13.67,$0.49,121.287490856,1658
College students,Higher Price,Medium,Electronics,187930,End-cap,No,Not Promoted,Yes,$19.19,$19.95,$0.76,35.388471178,706
Young adults,Higher Price,High,Electronics,124088,End-cap,Yes,Promoted,Yes,$46.44,$48.71,$2.27,42.393758982,2065
Seniors,Higher Price,High,Clothing,190238,Front of Store,No,Not Promoted,Yes,$32.60,$34.67,$2.07,55.292760312,1917
Seniors,Higher Price,Medium,Food,151925,End-cap,Yes,Promoted,Yes,$42.99,$47.63,$4.64,45.748477850,2179
Young adults,Higher Price,Medium,Clothing,163234,Front of Store,No,Not Promoted,No,$7.97,$12.03,$4.06,135.743973400,1633
College students,Higher Price,High,Electronics,135610,Aisle,Yes,Promoted,Yes,$35.59,$36.04,$0.45,41.981132075,1513
Seniors,Higher Price,High,Electronics,117065,Aisle,Yes,Promoted,Yes,$47.31,$47.39,$0.08,15.994935640,758
Families,Higher Price,Low,Electronics,149315,End-cap,Yes,Promoted,No,$24.08,$24.71,$0.63,29.057061918,718
Young adults,Higher Price,High,Clothing,149510,Aisle,No,Not Promoted,Yes,$34.02,$36.18,$2.16,39.027086788,1412
Seniors,Higher Price,High,Clothing,137990,Aisle,No,Not Promoted,No,$10.23,$12.01,$1.78,243.880099917,2929
Seniors,Higher Price,High,Food,154016,End-cap,Yes,Promoted,Yes,$42.05,$46.04,$3.99,51.390095569,2366
Seniors,Higher Price,Medium,Electronics,117751,Aisle,No,Not Promoted,No,$5.63,$10.00,$4.37,274.9,2749
Families,Higher Price,Low,Electronics,182362,Front of Store,No,Not Promoted,No,$13.51,$14.10,$0.59,143.191489362,2019
Seniors,Higher Price,Low,Food,117725,Aisle,No,Not Promoted,Yes,$35.86,$40.15,$4.29,37.509339975,1506
Families,Higher Price,High,Clothing,145289,End-cap,No,Not Promoted,No,$30.08,$30.65,$0.57,33.017944535,1012
College students,Higher Price,Medium,Electronics,173576,End-cap,Yes,Promoted,No,$46.32,$46.74,$0.42,39.323919555,1838
Seniors,Higher Price,High,Food,175059,Aisle,Yes,Promoted,No,$18.62,$19.16,$0.54,113.256784969,2170
Families,Higher Price,Low,Clothing,199368,Front of Store,No,Not Promoted,Yes,$27.22,$31.93,$4.71,33.228938303,1061
Seniors,Higher Price,Low,Food,162883,Front of Store,Yes,Promoted,No,$14.19,$18.30,$4.11,42.950819672,786
Families,Higher Price,Medium,Clothing,135490,Front of Store,No,Not Promoted,No,$17.29,$18.72,$1.43,58.440170940,1094
College students,Higher Price,High,Clothing,125408,End-cap,Yes,Promoted,Yes,$18.92,$21.79,$2.87,101.881597063,2220
College students,Higher Price,Low,Clothing,134763,Front of Store,No,Not Promoted,Yes,$17.42,$18.75,$1.33,109.226666667,2048
Families,Higher Price,Low,Food,143231,Aisle,No,Not Promoted,No,$42.72,$44.20,$1.48,58.325791855,2578
College students,Higher Price,High,Clothing,125409,End-cap,Yes,Promoted,No,$40.35,$42.55,$2.20,47.943595770,2040
College students,Higher Price,Low,Clothing,183074,Aisle,No,Not Promoted,No,$30.46,$34.15,$3.69,81.727672035,2791
Young adults,Higher Price,High,Clothing,147947,Aisle,Yes,Promoted,Yes,$15.64,$19.24,$3.60,64.916839917,1249
Seniors,Higher Price,Medium,Food,174171,Front of Store,Yes,Promoted,Yes,$5.34,$8.01,$2.67,283.770287141,2273
Young adults,Higher Price,Low,Electronics,183064,Front of Store,Yes,Promoted,No,$17.13,$19.25,$2.12,92.103896104,1773
Families,Higher Price,High,Food,177131,Aisle,Yes,Promoted,Yes,$43.78,$47.16,$3.38,36.747243427,1733
Seniors,Higher Price,High,Electronics,128179,End-cap,Yes,Promoted,No,$35.22,$38.75,$3.53,53.161290323,2060
Seniors,Higher Price,High,Food,152723,Aisle,No,Not Promoted,Yes,$42.34,$44.16,$1.82,64.515398551,2849
Families,Higher Price,Low,Electronics,123824,Aisle,Yes,Promoted,No,$28.97,$32.35,$3.38,70.386398764,2277
Seniors,Higher Price,Low,Electronics,166345,Aisle,No,Not Promoted,Yes,$39.73,$40.77,$1.04,27.839097376,1135
Seniors,Higher Price,Low,Electronics,199279,Aisle,No,Not Promoted,No,$15.23,$18.36,$3.13,96.405228758,1770
College students,Higher Price,High,Clothing,167981,End-cap,No,Not Promoted,No,$37.29,$37.40,$0.11,19.518716578,730
College students,Higher Price,Medium,Food,146839,Aisle,No,Not Promoted,No,$7.54,$10.04,$2.50,151.892430279,1525
Families,Higher Price,High,Electronics,187180,Front of Store,No,Not Promoted,Yes,$46.74,$47.50,$0.76,13.621052632,647
Families,Higher Price,High,Electronics,167640,End-cap,Yes,Promoted,Yes,$43.71,$46.56,$2.85,21.842783505,1017
College students,Higher Price,Low,Food,165158,Front of Store,No,Not Promoted,No,$37.89,$40.44,$2.55,40.108803165,1622
Seniors,Higher Price,High,Food,111521,Front of Store,Yes,Promoted,Yes,$27.82,$31.98,$4.16,79.831144465,2553
Seniors,Higher Price,High,Food,120228,End-cap,No,Not Promoted,No,$13.41,$15.92,$2.51,147.424623116,2347
Families,Higher Price,Low,Clothing,133078,Aisle,No,Not Promoted,Yes,$45.21,$48.34,$3.13,52.441042615,2535
Families,Higher Price,Medium,Electronics,137598,Aisle,No,Not Promoted,Yes,$37.69,$38.21,$0.52,74.299921487,2839
Families,Higher Price,Low,Clothing,138779,Front of Store,Yes,Promoted,Yes,$42.24,$44.97,$2.73,62.285968423,2801
Young adults,Higher Price,Low,Electronics,198329,Front of Store,Yes,Promoted,Yes,$15.77,$19.55,$3.78,32.122762148,628
Young adults,Higher Price,Low,Electronics,110295,End-cap,Yes,Promoted,No,$8.47,$13.10,$4.63,110.534351145,1448
Families,Higher Price,Low,Electronics,196427,Aisle,Yes,Promoted,No,$31.98,$36.73,$4.75,38.143207188,1401
College students,Higher Price,Medium,Electronics,110075,Front of Store,Yes,Promoted,Yes,$41.45,$42.96,$1.51,50.861266294,2185
Families,Higher Price,Low,Clothing,132322,Front of Store,Yes,Promoted,No,$34.99,$37.74,$2.75,56.571277160,2135
Families,Higher Price,Medium,Electronics,199631,Front of Store,Yes,Promoted,No,$14.51,$14.80,$0.29,85.743243243,1269
Seniors,Higher Price,Medium,Food,182306,Front of Store,No,Not Promoted,No,$5.84,$5.93,$0.09,473.018549747,2805
Seniors,Higher Price,Low,Food,194915,Aisle,Yes,Promoted,No,$21.10,$23.91,$2.81,75.115014638,1796
College students,Higher Price,Medium,Electronics,131298,End-cap,Yes,Promoted,No,$37.69,$41.46,$3.77,51.447178003,2133
Seniors,Higher Price,High,Electronics,168571,Aisle,No,Not Promoted,No,$6.39,$10.78,$4.39,164.935064935,1778
Families,Higher Price,Medium,Food,154224,End-cap,Yes,Promoted,No,$21.79,$22.69,$0.90,109.034817100,2474
College students,Higher Price,Low,Electronics,171061,Aisle,No,Not Promoted,Yes,$22.71,$23.25,$0.54,87.397849462,2032
Seniors,Higher Price,Low,Clothing,119049,Aisle,No,Not Promoted,Yes,$11.33,$16.24,$4.91,102.155172414,1659
Young adults,Higher Price,Medium,Clothing,158781,End-cap,Yes,Promoted,Yes,$16.77,$19.91,$3.14,122.702159719,2443
Seniors,Higher Price,Medium,Food,151438,Aisle,No,Not Promoted,Yes,$2.73,$5.41,$2.68,210.166358595,1137
Families,Higher Price,High,Clothing,152871,End-cap,No,Not Promoted,Yes,$12.76,$13.39,$0.63,137.938760269,1847
Young adults,Higher Price,High,Clothing,126806,End-cap,Yes,Promoted,Yes,$37.16,$40.27,$3.11,59.697044947,2404
College students,Higher Price,Medium,Electronics,134104,End-cap,No,Not Promoted,Yes,$21.61,$23.84,$2.23,61.493288591,1466
Families,Higher Price,High,Electronics,120266,Front of Store,No,Not Promoted,No,$16.05,$20.04,$3.99,116.167664671,2328
Families,Higher Price,Medium,Electronics,173550,End-cap,No,Not Promoted,Yes,$29.46,$33.00,$3.54,43.363636364,1431
Young adults,Higher Price,Medium,Clothing,175927,End-cap,No,Not Promoted,Yes,$21.68,$22.25,$0.57,67.685393258,1506
Seniors,Higher Price,Medium,Clothing,154278,End-cap,No,Not Promoted,Yes,$16.29,$17.07,$0.78,161.042765085,2749
College students,Higher Price,Low,Electronics,183537,Front of Store,Yes,Promoted,Yes,$36.61,$40.64,$4.03,59.891732283,2434
Young adults,Higher Price,Medium,Food,150424,Front of Store,No,Not Promoted,Yes,$25.19,$25.47,$0.28,81.154299176,2067
Families,Higher Price,Low,Clothing,183825,Aisle,Yes,Promoted,Yes,$40.51,$42.70,$2.19,70,2989
Families,Higher Price,Low,Electronics,144012,Front of Store,Yes,Promoted,No,$31.57,$33.28,$1.71,22.325721154,743
Young adults,Higher Price,Low,Electronics,147051,Front of Store,No,Not Promoted,No,$28.91,$31.59,$2.68,73.599240266,2325
College students,Higher Price,Medium,Electronics,185800,End-cap,No,Not Promoted,Yes,$21.33,$24.20,$2.87,76.074380165,1841
Seniors,Higher Price,Low,Clothing,197524,Aisle,Yes,Promoted,Yes,$28.79,$31.52,$2.73,70.780456853,2231
Seniors,Higher Price,Low,Clothing,148823,Aisle,No,Not Promoted,Yes,$8.65,$12.31,$3.66,179.610073111,2211
Young adults,Higher Price,Low,Clothing,114550,End-cap,No,Not Promoted,No,$25.72,$28.13,$2.41,75.151084252,2114
College students,Higher Price,High,Electronics,125398,Aisle,Yes,Promoted,Yes,$43.56,$48.12,$4.56,28.054862843,1350
Seniors,Higher Price,High,Electronics,123985,End-cap,No,Not Promoted,No,$6.43,$9.52,$3.09,235.294117647,2240
College students,Higher Price,High,Electronics,186638,End-cap,Yes,Promoted,No,$17.11,$18.78,$1.67,69.009584665,1296
Families,Higher Price,High,Electronics,167281,End-cap,Yes,Promoted,Yes,$16.80,$19.49,$2.69,45.767060031,892
Seniors,Higher Price,High,Clothing,118578,End-cap,No,Not Promoted,Yes,$6.59,$9.07,$2.48,185.005512679,1678
Seniors,Higher Price,Medium,Electronics,174041,End-cap,No,Not Promoted,No,$4.51,$5.06,$0.55,398.418972332,2016
Young adults,Higher Price,Low,Clothing,127644,Front of Store,No,Not Promoted,Yes,$36.14,$36.48,$0.34,41.063596491,1498
Families,Higher Price,Low,Clothing,132007,Aisle,No,Not Promoted,Yes,$35.08,$38.63,$3.55,64.483561998,2491
Young adults,Higher Price,Low,Clothing,147998,Aisle,No,Not Promoted,No,$34.91,$36.43,$1.52,70.161954433,2556
Families,Higher Price,Low,Food,176666,Aisle,Yes,Promoted,No,$41.71,$43.93,$2.22,64.921465969,2852
College students,Higher Price,Medium,Food,193686,Aisle,Yes,Promoted,No,$21.60,$25.07,$3.47,75.747905864,1899
Families,Higher Price,High,Food,163610,Front of Store,Yes,Promoted,No,$36.12,$39.37,$3.25,62.636525273,2466
College students,Higher Price,Medium,Food,170364,Aisle,No,Not Promoted,No,$6.55,$7.88,$1.33,103.807106599,818
Young adults,Higher Price,Medium,Clothing,167599,Aisle,No,Not Promoted,No,$11.06,$13.94,$2.88,107.604017217,1500
Young adults,Higher Price,High,Clothing,166421,End-cap,Yes,Promoted,No,$39.96,$44.85,$4.89,64.169453735,2878
College students,Higher Price,Low,Electronics,129247,Front of Store,Yes,Promoted,No,$45.05,$47.79,$2.74,49.926762921,2386
Families,Higher Price,Medium,Food,127314,End-cap,Yes,Promoted,Yes,$11.51,$13.34,$1.83,155.622188906,2076
Families,Higher Price,Medium,Food,111979,Front of Store,No,Not Promoted,No,$19.52,$21.28,$1.76,128.477443609,2734
Seniors,Higher Price,High,Food,120354,Aisle,Yes,Promoted,No,$35.98,$37.15,$1.17,76.339165545,2836
College students,Higher Price,Medium,Clothing,144848,Front of Store,No,Not Promoted,No,$16.19,$18.58,$2.39,118.030139935,2193
Seniors,Higher Price,High,Food,111957,Aisle,Yes,Promoted,No,$33.73,$37.86,$4.13,57.157950343,2164
College students,Higher Price,High,Electronics,160763,Front of Store,Yes,Promoted,Yes,$17.62,$20.34,$2.72,48.721730580,991
Young adults,Higher Price,Medium,Clothing,168270,End-cap,Yes,Promoted,Yes,$37.33,$37.62,$0.29,40.536948432,1525
Families,Higher Price,Low,Electronics,195082,Front of Store,No,Not Promoted,No,$14.22,$16.74,$2.52,55.137395460,923
College students,Higher Price,Low,Clothing,110329,Front of Store,No,Not Promoted,Yes,$43.31,$44.11,$0.80,54.341419179,2397
Families,Higher Price,Low,Electronics,147449,End-cap,No,Not Promoted,No,$10.18,$12.89,$2.71,92.397207137,1191
College students,Higher Price,Low,Electronics,193332,Aisle,Yes,Promoted,No,$36.70,$37.73,$1.03,32.785581765,1237
Families,Higher Price,Medium,Food,146804,Aisle,Yes,Promoted,No,$11.45,$14.38,$2.93,104.589707928,1504
Seniors,Higher Price,Medium,Food,188909,Aisle,Yes,Promoted,Yes,$16.98,$16.99,$0.01,168.510888758,2863
College students,Higher Price,High,Clothing,165910,End-cap,Yes,Promoted,No,$37.80,$39.26,$1.46,70.300560367,2760
Seniors,Higher Price,Low,Electronics,136738,Front of Store,No,Not Promoted,Yes,$31.90,$36.52,$4.62,14.841182913,542
Young adults,Higher Price,Low,Food,144497,End-cap,Yes,Promoted,Yes,$28.18,$31.39,$3.21,35.202293724,1105
College students,Higher Price,Low,Clothing,135036,End-cap,Yes,Promoted,No,$42.07,$46.10,$4.03,31.127982646,1435
Families,Higher Price,Low,Electronics,166331,Aisle,Yes,Promoted,Yes,$17.22,$19.28,$2.06,149.221991701,2877
Families,Higher Price,High,Food,139789,Aisle,No,Not Promoted,Yes,$3.38,$6.22,$2.84,175.884244373,1094
Young adults,Higher Price,Medium,Clothing,118569,Aisle,No,Not Promoted,Yes,$39.41,$40.06,$0.65,24.812780829,994
Seniors,Higher Price,Medium,Electronics,155848,End-cap,Yes,Promoted,No,$46.85,$46.91,$0.06,41.398422511,1942
College students,Higher Price,Low,Electronics,152563,Front of Store,No,Not Promoted,Yes,$40.60,$42.42,$1.82,60.631777463,2572
Families,Higher Price,Medium,Electronics,115153,Aisle,No,Not Promoted,No,$26.84,$30.55,$3.71,56.824877250,1736
Young adults,Higher Price,High,Clothing,125938,Aisle,Yes,Promoted,Yes,$37.81,$39.07,$1.26,30.816483235,1204
Young adults,Higher Price,High,Clothing,122809,End-cap,No,Not Promoted,Yes,$43.47,$47.47,$4.00,33.536970718,1592
Young adults,Higher Price,High,Electronics,181502,Front of Store,Yes,Promoted,No,$8.48,$10.83,$2.35,239.242843952,2591
Young adults,Higher Price,Low,Food,182779,End-cap,Yes,Promoted,Yes,$4.93,$7.27,$2.34,288.445667125,2097
Families,Higher Price,Low,Clothing,155674,Front of Store,No,Not Promoted,No,$14.52,$16.91,$2.39,53.045535186,897
Seniors,Higher Price,High,Clothing,182866,Aisle,No,Not Promoted,Yes,$40.42,$41.95,$1.53,36.996424315,1552
Young adults,Higher Price,Medium,Clothing,148230,Front of Store,Yes,Promoted,No,$45.42,$49.98,$4.56,49.899959984,2494
Seniors,Higher Price,High,Clothing,126979,Front of Store,No,Not Promoted,No,$30.01,$30.53,$0.52,70.127743203,2141
Young adults,Higher Price,Medium,Electronics,135521,End-cap,No,Not Promoted,Yes,$1.63,$5.38,$3.75,526.951672862,2835
Families,Higher Price,High,Electronics,185809,End-cap,No,Not Promoted,No,$46.34,$47.30,$0.96,13.150105708,622
Families,Higher Price,Low,Electronics,171520,End-cap,Yes,Promoted,Yes,$28.02,$30.02,$2.00,96.635576282,2901
Young adults,Higher Price,Low,Food,122926,End-cap,No,Not Promoted,No,$27.10,$31.05,$3.95,27.922705314,867
Young adults,Higher Price,Low,Food,150953,Front of Store,Yes,Promoted,Yes,$47.60,$48.14,$0.54,50.560864146,2434
Seniors,Higher Price,High,Electronics,115873,End-cap,Yes,Promoted,Yes,$39.08,$43.99,$4.91,59.240736531,2606
College students,Higher Price,Medium,Clothing,115581,Aisle,No,Not Promoted,Yes,$46.11,$48.63,$2.52,56.097059428,2728
Seniors,Higher Price,Medium,Clothing,183634,Front of Store,Yes,Promoted,Yes,$21.98,$25.95,$3.97,107.052023121,2778
College students,Higher Price,High,Food,122484,Aisle,Yes,Promoted,Yes,$16.98,$21.73,$4.75,25.678785090,558
College students,Higher Price,High,Electronics,183574,Aisle,Yes,Promoted,Yes,$14.94,$19.00,$4.06,92.210526316,1752
Families,Higher Price,High,Clothing,185307,Front of Store,No,Not Promoted,Yes,$39.95,$41.40,$1.45,66.256038647,2743
College students,Higher Price,Medium,Food,118719,End-cap,No,Not Promoted,Yes,$27.60,$31.62,$4.02,52.783048703,1669
College students,Higher Price,High,Food,134788,Front of Store,No,Not Promoted,No,$34.17,$36.11,$1.94,60.343395181,2179
Young adults,Higher Price,Medium,Food,140142,Front of Store,Yes,Promoted,No,$13.62,$14.50,$0.88,41.793103448,606
College students,Higher Price,High,Electronics,153997,End-cap,No,Not Promoted,Yes,$14.61,$15.27,$0.66,105.304518664,1608
Young adults,Higher Price,Medium,Clothing,123230,Aisle,No,Not Promoted,Yes,$13.03,$16.59,$3.56,53.044002411,880
College students,Higher Price,Low,Electronics,154676,Aisle,No,Not Promoted,No,$23.26,$26.04,$2.78,36.213517665,943
Seniors,Higher Price,Medium,Clothing,152985,Aisle,Yes,Promoted,Yes,$2.86,$6.25,$3.39,167.84,1049
Young adults,Higher Price,Low,Clothing,175584,Front of Store,No,Not Promoted,No,$8.54,$10.57,$2.03,197.161778619,2084
College students,Higher Price,Medium,Clothing,147491,End-cap,No,Not Promoted,No,$19.82,$20.09,$0.27,77.799900448,1563
Seniors,Higher Price,Medium,Food,198283,End-cap,Yes,Promoted,Yes,$20.84,$25.15,$4.31,61.948310139,1558
Families,Higher Price,High,Food,141547,End-cap,No,Not Promoted,No,$19.05,$23.27,$4.22,61.280618823,1426
Seniors,Higher Price,High,Food,156342,Front of Store,Yes,Promoted,Yes,$37.62,$38.94,$1.32,37.647663071,1466
Seniors,Higher Price,Low,Food,186083,End-cap,No,Not Promoted,Yes,$28.36,$28.87,$0.51,21.614132317,624
College students,Higher Price,Medium,Food,171776,Aisle,Yes,Promoted,No,$31.39,$34.06,$2.67,49.471520846,1685
Seniors,Higher Price,High,Food,134429,Aisle,No,Not Promoted,No,$37.93,$40.01,$2.08,72.831792052,2914
Seniors,Higher Price,Medium,Food,172816,Aisle,No,Not Promoted,Yes,$12.26,$14.36,$2.10,106.128133705,1524
Young adults,Higher Price,Low,Clothing,136272,End-cap,No,Not Promoted,Yes,$25.90,$28.47,$2.57,101.404987706,2887
Seniors,Higher Price,Low,Electronics,193227,End-cap,Yes,Promoted,Yes,$39.26,$40.47,$1.21,43.933778107,1778
Families,Higher Price,High,Electronics,165786,End-cap,No,Not Promoted,Yes,$13.40,$18.03,$4.63,70.881863561,1278
College students,Higher Price,High,Food,174708,Front of Store,No,Not Promoted,Yes,$17.58,$21.75,$4.17,24.321839080,529
Seniors,Higher Price,Medium,Clothing,142257,Aisle,Yes,Promoted,Yes,$18.91,$21.70,$2.79,54.377880184,1180
Seniors,Higher Price,High,Electronics,126146,Aisle,No,Not Promoted,No,$32.73,$34.72,$1.99,79.464285714,2759
College students,Higher Price,Medium,Food,129134,Aisle,No,Not Promoted,Yes,$22.91,$23.29,$0.38,78.617432374,1831
Seniors,Higher Price,Low,Electronics,129898,End-cap,No,Not Promoted,No,$6.98,$10.33,$3.35,180.638915779,1866
College students,Higher Price,Low,Food,189692,End-cap,Yes,Promoted,No,$12.26,$14.58,$2.32,106.515775034,1553
Families,Higher Price,Low,Electronics,154846,End-cap,Yes,Promoted,No,$35.35,$35.78,$0.43,25.628842929,917
Seniors,Higher Price,Low,Clothing,122307,End-cap,No,Not Promoted,No,$31.62,$32.92,$1.30,21.324422843,702
Families,Higher Price,Low,Food,182099,Aisle,Yes,Promoted,No,$31.65,$35.29,$3.64,56.049872485,1978
College students,Higher Price,Medium,Electronics,159816,Front of Store,No,Not Promoted,Yes,$31.95,$34.76,$2.81,56.415420023,1961
Young adults,Higher Price,Medium,Clothing,165326,Aisle,No,Not Promoted,No,$3.91,$8.86,$4.95,134.085778781,1188
Young adults,Higher Price,High,Food,185154,Aisle,Yes,Promoted,No,$20.84,$24.95,$4.11,39.919839679,996
Seniors,Higher Price,High,Clothing,141330,Aisle,No,Not Promoted,Yes,$45.49,$46.10,$0.61,41.540130152,1915
Young adults,Higher Price,High,Clothing,158958,End-cap,No,Not Promoted,No,$2.52,$5.62,$3.10,160.676156584,903
Families,Higher Price,Medium,Electronics,155010,Aisle,Yes,Promoted,Yes,$42.21,$45.12,$2.91,16.156914894,729
